FID,ROADNAME,NUM_LANES,SUR_TYPE,Label_Cate
2750,GENOA ST,2,Paved,City Street
2751,GENOA ST,2,Paved,City Street
2752,HILLSIDE DR,2,Paved,City Street
2753,COMO ST,2,Paved,City Street
2754,WOODRIDGE CT,2,Paved,City Street
2755,EDGEWOOD ROAD,2,Paved,County Road
2756,WOODRIDGE WY,2,Paved,City Street
2757,WOODRIDGE CT,2,Paved,City Street
2758,HILLSIDE DR,2,Paved,City Street
2759,CEDAR AV,2,Paved,City Street
2760,SHASTA AV,2,Paved,City Street
2761,S DAVIS AV,2,Paved,City Street
2762,WHITE AV,2,Unpaved,City Street
2763,SAWYERS BAR ROAD,2,Paved,County Road
2764,N DAVIS AV,2,Paved,City Street
2765,ALAMO AV,2,Paved,City Street
2766,FLORENCE DR,2,Paved,City Street
2767,LOMBARDI AV,2,Paved,City Street
2768,MAIN ST,2,Paved,City Street
2769,S DAVIS AV,2,Paved,City Street
2770,I-5,2,Paved,Interstate
2771,HILLSIDE DR,2,Paved,City Street
2772,SHASTA AV,2,Paved,City Street
2773,TEBBE ST,2,Paved,City Street
2774,FLORENCE DR,2,Paved,City Street
2775,MAIN ST,2,Paved,City Street
2776,X,2,Paved,City Street
2777,PARK ST,2,Paved,City Street
2778,ALAMO AV,2,Paved,City Street
2779,FLORENCE DR,2,Paved,City Street
2780,TEBBE ST,2,Paved,City Street
2781,ALAMO AV,2,Paved,City Street
2782,MAIN ST,2,Paved,City Street
2783,GILLMAN AV,2,Paved,City Street
2784,ELM ST,2,Paved,City Street
2785,ELM ST,2,Paved,City Street
2786,STONE WY,2,Unpaved,City Street
2787,MAIN ST,2,Paved,City Street
2788,ALAMO AV,2,Paved,City Street
2789,I-5,2,Paved,Interstate
2790,COLUMBUS WY,1,Paved,City Street
2791,OLD EDGEWOOD WEED RD,2,Paved,City Street
2792,TRAILER LN,2,Paved,City Street
2793,HILLSIDE DR,2,Paved,City Street
2794,S DAVIS AV,2,Paved,City Street
2795,PARK ST,2,Paved,City Street
2796,S DAVIS AV,2,Paved,City Street
2797,MAIN ST,2,Paved,City Street
2798,GILLMAN AV,2,Paved,City Street
2799,CAMINO AV,2,Paved,City Street
2800,CAMINO AV,2,Paved,City Street
2801,PARK ST,2,Paved,City Street
2802,CLARK LN,2,Unpaved,City Street
2803,CAMINO ST,2,Paved,City Street
2804,MAIN ST,2,Paved,City Street
2805,CAMINO ST,2,Paved,City Street
2806,PARK ST,2,Paved,City Street
2807,PARK ST,2,Paved,City Street
2808,GILLMAN AV,2,Paved,City Street
2809,E DIVISION ST,2,Paved,City Street
2810,MAIN ST,2,Paved,City Street
2811,E DIVISION ST,2,Paved,City Street
2812,MAIN ST,2,Paved,City Street
2813,E DIVISION ST,2,Paved,City Street
2814,W DIVISION ST,2,Paved,City Street
2815,CHAPARRAL DR,2,Unpaved,City Street
2816,TRAILER LN,2,Paved,City Street
2817,I-5R,2,Paved,Interstate Ramp
2818,PARK ST,2,Paved,City Street
2819,OLIVE ST,2,Unpaved,City Street
2820,PARK ST,2,Paved,City Street
2821,SPRING LN,2,Paved,City Street
2822,MAIN ST,2,Paved,City Street
2823,W INEZ ST,2,Paved,City Street
2824,PARK ST,2,Paved,City Street
2825,HWY 97,3,Paved,State Highway
2826,CHAPARRAL DR,2,Paved,City Street
2827,CLAY ST,2,Paved,City Street
2828,MONROE WAY,2,Paved,County Road
2829,LAKE DR,2,Paved,City Street
2830,BUTTE ST,2,Paved,City Street
2831,CALDWELL AVE,2,Paved,City Street
2832,E INEZ ST,2,Paved,City Street
2833,S MT SHASTA BLVD,2,Paved,City Street
2834,GILL AVE,2,Paved,City Street
2835,DEER HAVEN,2,Paved,City Street
2836,E INEZ ST,2,Paved,City Street
2837,ALMA ST,2,Paved,City Street
2838,CEDAR ST,2,Paved,City Street
2839,I-5,2,Paved,Interstate
2840,W CASTLE ST,2,Paved,City Street
2841,SCOTT MOUNTAIN ROAD,2,Paved,County Road
2842,MCCLOUD AVENUE,2,Unpaved,County Road
2843,WILDCAT CREEK ROAD,2,Paved,County Road
2844,MCCLOUD AVENUE,2,Paved,County Road
2845,SHASTA ACRES ROAD,2,Paved,County Road
2846,W JESSIE ST,2,Paved,City Street
2847,LAKE DR,2,Paved,City Street
2848,MAPLE ST,2,Paved,City Street
2849,CEDAR ST,2,Paved,City Street
2850,EAST CALLAHAN ROAD,2,Paved,County Road
2851,HWY 3,2,Paved,State Highway
2852,HWY 3,2,Paved,State Highway
2853,GAZELLE CALLAHAN ROAD,2,Paved,County Road
2854,WASHINGTON DR,2,Paved,City Street
2855,MCCLOUD AVE,2,Paved,City Street
2856,NORTH C ST,2,Paved,City Street
2857,MCCLOUD AVE,2,Paved,City Street
2858,MCCLOUD AVE,2,Paved,City Street
2859,NORTH B ST,2,Paved,City Street
2860,ADAMS DR,2,Paved,City Street
2861,MCCLOUD AVE,2,Paved,City Street
2862,MCCLOUD AVE,2,Paved,City Street
2863,MCCLOUD AVE,2,Paved,City Street
2864,NORTH A ST,2,Paved,City Street
2865,MCCLOUD AVE,2,Paved,City Street
2866,MCCLOUD AVE,2,Paved,City Street
2867,CHESTNUT ST,2,Paved,City Street
2868,JEFFERSON DR,2,Paved,City Street
2869,MCCLOUD AVE,2,Paved,City Street
2870,MCCLOUD AVE,2,Paved,City Street
2871,MADISON DRIVE,2,Paved,County Road
2872,MCCLOUD AVENUE,2,Paved,County Road
2873,SHASTA ACRES ROAD,2,Paved,County Road
2874,MCCLOUD AVENUE,2,Paved,County Road
2875,LOTUS LANE,2,Paved,County Road
2876,MCCLOUD AVENUE,2,Paved,County Road
2877,MCCLOUD AVENUE,2,Paved,County Road
2878,CHESTNUT ST,2,Paved,City Street
2879,S MT SHASTA BLVD,2,Paved,City Street
2880,S MT SHASTA BLVD,2,Paved,City Street
2881,ALPINE ST,2,Paved,City Street
2882,MILL ST,2,Paved,City Street
2883,MAPLE ST,2,Paved,City Street
2884,COUNTY ROAD,2,Paved,County Road
2885,HWY 3,2,Paved,State Highway
2886,LAKE DR,2,Paved,City Street
2887,PINE ST,2,Paved,City Street
2888,ADAMS DR,2,Paved,City Street
2889,SOUTH B ST,2,Paved,City Street
2890,WASHINGTON DR,2,Paved,City Street
2891,ACKLEY AVE,2,Paved,City Street
2892,HWY 3,2,Paved,State Highway
2893,SOUTH A ST,2,Paved,City Street
2894,ALLEY,2,Paved,City Street
2895,SOUTH A ST,2,Paved,City Street
2896,SHASTA COURT,2,Paved,City Street
2897,EILER RD,2,Paved,City Street
2898,WASHINGTON DR,2,Paved,City Street
2899,SCOTT MOUNTAIN ROAD,2,Unpaved,County Road
2900,I-5R,2,Paved,Interstate Ramp
2901,MILL ST,2,Paved,City Street
2902,WATER ST,2,Paved,City Street
2903,W JESSIE ST,2,Paved,City Street
2904,LAKE DR,2,Paved,City Street
2905,LAKE DR,2,Paved,City Street
2906,I-5R,2,Paved,Interstate Ramp
2907,LAKE DR,2,Paved,City Street
2908,I-5R,2,Paved,Interstate Ramp
2909,WASHINGTON DR,2,Paved,City Street
2910,I-5R,2,Paved,Interstate Ramp
2911,HATCHERY LANE,2,Paved,County Road
2912,SOUTH A ST,2,Paved,City Street
2913,SMITH ST,2,Paved,City Street
2914,HATCHERY LANE,2,Paved,County Road
2915,HWY 3,2,Paved,State Highway
