FID,ROADNAME,NUM_LANES,SUR_TYPE,Label_Cate
3763,MEADOW VALLEY DRIVE,2,Paved,County Road
3764,LAKE DR,2,Paved,City Street
3765,MAGNOLIA ST,2,Paved,City Street
3766,E JESSIE ST,2,Paved,City Street
3767,CHESTNUT ST,2,Paved,City Street
3768,ALMA ST,2,Paved,City Street
3769,DOUGLAS LANE,2,Paved,County Road
3770,MAGNOLIA ST,2,Paved,City Street
3771,E JESSIE ST,2,Paved,City Street
3772,S MT SHASTA BLVD,2,Paved,City Street
3773,CEDAR ST,2,Paved,City Street
3774,W IVY ST,2,Paved,City Street
3775,PINE ST,2,Paved,City Street
3776,ALMA ST,2,Paved,City Street
3777,CHESTNUT ST,2,Paved,City Street
3778,WEST FIELD ST,2,Paved,City Street
3779,SHASTA WAY,2,Paved,County Road
3780,LOTUS LANE,2,Paved,County Road
3781,E CASTLE ST,2,Paved,City Street
3782,ALDER ST,2,Paved,City Street
3783,LAKE DR,2,Paved,City Street
3784,SHASTA WAY,2,Paved,County Road
3785,ALPINE DRIVE,2,Paved,County Road
3786,SHASTA WAY,2,Paved,County Road
3787,ALMA ST,2,Paved,City Street
3788,S MT SHASTA BLVD,2,Paved,City Street
3789,W IVY ST,2,Paved,City Street
3790,CEDAR ST,2,Paved,City Street
3791,BIRCH ST,2,Paved,City Street
3792,CHESTNUT ST,2,Paved,City Street
3793,PINE ST,2,Paved,City Street
3794,E CASTLE ST,2,Paved,City Street
3795,CHESTNUT ST,2,Paved,City Street
3796,CHESTNUT ST,2,Paved,City Street
3797,MORMAN WAY,2,Paved,City Street
3798,ADAMS DR,2,Paved,City Street
3799,W IVY ST,2,Paved,City Street
3800,ALLEY,2,Paved,City Street
3801,LAKE DR,2,Paved,City Street
3802,ALDER ST,2,Paved,City Street
3803,MEADOW VALLEY DRIVE,2,Paved,County Road
3804,NORTH OLD STAGE ROAD,2,Paved,County Road
3805,W IVY ST,2,Paved,City Street
3806,E CASTLE ST,2,Paved,City Street
3807,S MT SHASTA BLVD,2,Paved,City Street
3808,LOTUS LANE,2,Paved,County Road
3809,WILDCAT CREEK ROAD,2,Unpaved,County Road
3810,S MT SHASTA BLVD,2,Paved,City Street
3811,NORTH C ST,2,Paved,City Street
3812,ALDER ST,2,Paved,City Street
3813,E CASTLE ST,2,Paved,City Street
3814,S MT SHASTA BLVD,2,Paved,City Street
3815,WASHINGTON DR,2,Paved,City Street
3816,RUSSELL ST,2,Paved,City Street
3817,W JESSIE ST,2,Paved,City Street
3818,CEDAR ST,2,Paved,City Street
3819,ALMA ST,2,Paved,City Street
3820,PINE ST,2,Paved,City Street
3821,LAKE DR,2,Paved,City Street
3822,CHESTNUT ST,2,Paved,City Street
3823,I-5,2,Paved,Interstate
3824,SHASTA ACRES ROAD,2,Paved,County Road
3825,GAZELLE CALLAHAN ROAD,2,Paved,County Road
3826,OREM ST,2,Paved,City Street
3827,NORTH A ST,2,Paved,City Street
3828,CHESTNUT ST,2,Paved,City Street
3829,OREM ST,2,Paved,City Street
3830,NORTH C ST,2,Paved,City Street
3831,OREM ST,2,Paved,City Street
3832,WASHINGTON DR,2,Paved,City Street
3833,OREM ST,2,Paved,City Street
3834,W JESSIE ST,2,Paved,City Street
3835,BLACKBEAR DR,2,Paved,City Street
3836,LOVERS LANE ROAD,2,Paved,County Road
3837,SISKIYOU AVE,2,Paved,City Street
3838,WOODSIDE DRIVE,2,Paved,County Road
3839,WOODSIDE DRIVE,2,Paved,County Road
3840,EDDYS CIRCLE,2,Paved,County Road
3841,BIG MEADOWS ROAD,2,Unpaved,County Road
3842,BUCKHORN ROAD,2,Paved,County Road
3843,BUCKHORN ROAD,2,Paved,County Road
3844,BUCKHORN ROAD,2,Paved,County Road
3845,BUCKHORN ROAD,2,Paved,County Road
3846,BUCKHORN ROAD,2,Paved,County Road
3847,BUCKHORN ROAD,2,Paved,County Road
3848,CANTARA LOOP ROAD,2,Paved,County Road
3849,CANTARA LOOP ROAD,2,Unpaved,County Road
3850,COTTONWOOD CREEK ROAD,2,Paved,County Road
3851,COTTONWOOD CREEK ROAD,2,Unpaved,County Road
3852,COTTONWOOD CREEK ROAD,2,Paved,County Road
3853,COTTONWOOD CREEK ROAD,2,Paved,County Road
3854,COTTONWOOD CREEK ROAD,2,Paved,County Road
3855,COTTONWOOD CREEK ROAD,2,Paved,County Road
3856,COTTONWOOD CREEK ROAD,2,Paved,County Road
3857,DANNY DRIVE,2,Paved,County Road
3858,DANNY DRIVE,2,Paved,County Road
3859,DANNY DRIVE,2,Paved,County Road
3860,DITCH CREEK ROAD,2,Paved,County Road
3861,DITCH CREEK ROAD,2,Paved,County Road
3862,DITCH CREEK ROAD,2,Paved,County Road
3863,DITCH CREEK ROAD,2,Paved,County Road
3864,DITCH CREEK ROAD,2,Paved,County Road
3865,DITCH CREEK ROAD,2,Paved,County Road
3866,DITCH CREEK ROAD,2,Paved,County Road
3867,DITCH CREEK ROAD,2,Unpaved,County Road
3868,DITCH CREEK ROAD,2,Unpaved,County Road
3869,EVERETT MEMORIAL HWY,2,Paved,County Road
3870,EVERETT MEMORIAL HWY,2,Paved,County Road
3871,EVERETT MEMORIAL HWY,2,Paved,County Road
3872,EVERETT MEMORIAL HWY,2,Paved,County Road
3873,EVERETT MEMORIAL HWY,2,Paved,County Road
3874,EVERETT MEMORIAL HWY,2,Paved,County Road
3875,EVERETT MEMORIAL HWY,2,Paved,County Road
3876,EVERETT MEMORIAL HWY,2,Paved,County Road
3877,GLENDENNING ROAD,2,Paved,County Road
3878,GREGORY MOUNTAIN ROAD,2,Paved,County Road
3879,GREGORY MOUNTAIN ROAD,2,Paved,County Road
3880,GREGORY MOUNTAIN ROAD,2,Paved,County Road
3881,KIDDER CREEK ROAD,2,Paved,County Road
3882,KIDDER CREEK ROAD,2,Paved,County Road
3883,KIDDER CREEK ROAD,2,Unpaved,County Road
3884,MCCONAUGHY GULCH ROAD,2,Paved,County Road
3885,MCCONAUGHY GULCH ROAD,2,Unpaved,County Road
3886,MCCONAUGHY GULCH ROAD,2,Paved,County Road
3887,MCCONAUGHY GULCH ROAD,2,Paved,County Road
3888,MCCONAUGHY GULCH ROAD,2,Paved,County Road
3889,MCCONAUGHY GULCH ROAD,2,Unpaved,County Road
3890,NEY SPRINGS ROAD,2,Unpaved,County Road
3891,OAKWOOD LANE,2,Paved,County Road
3892,SHADY DELL ROAD,2,Unpaved,County Road
3893,SLOUGH ROAD,2,Unpaved,County Road
3894,SOUTH INDIAN CREEK ROAD,2,Paved,County Road
3895,SOUTH KIDDER CREEK ROAD,2,Paved,County Road
3896,WEED AIRPORT ROAD,2,Paved,County Road
3897,MOTT ROAD,2,Paved,City Street
3898,MOTT ROAD,2,Paved,County Road
3899,ROOSTER DRIVE,2,Unpaved,County Road
3900,NORTH SHORE ROAD,2,Unpaved,County Road
3901,RED ROCK ROAD,2,Paved,County Road
3902,RED ROCK ROAD,2,Paved,County Road
3903,RED ROCK ROAD,2,Paved,County Road
3904,RED ROCK ROAD,2,Paved,County Road
3905,RED ROCK ROAD,2,Paved,County Road
3906,RED ROCK ROAD,2,Paved,County Road
3907,PARK WAY,2,Paved,County Road
3908,PARK WAY,2,Paved,County Road
3909,PARK WAY,2,Paved,County Road
3910,FIRST AVENUE,2,Paved,County Road
3911,FIRST AVENUE,2,Paved,County Road
3912,FIRST AVENUE,2,Paved,County Road
3913,FIRST AVENUE,2,Paved,County Road
3914,FIRST AVENUE,2,Paved,County Road
3915,HORSE CREEK ROAD,2,Unpaved,County Road
3916,MOTT ROAD,2,Paved,County Road
3917,SOUTH OLD STAGE ROAD,2,Paved,County Road
3918,EAST STREET,2,Unpaved,City Street
3919,EAST STREET,2,Unpaved,County Road
3920,THRUSH DRIVE,0,UNPAVED,County Road
3921,DESEVADO ROAD,2,Paved,County Road
3922,DESEVADO ROAD,2,Paved,County Road
3923,DESEVADO ROAD,2,Paved,County Road
3924,DESEVADO ROAD,2,Paved,County Road
3925,DESEVADO ROAD,0,UNPAVED,County Road
3926,DESEVADO ROAD,0,UNPAVED,County Road
3927,DESEVADO ROAD,0,UNPAVED,County Road
3928,WHITE ROCK ROAD,0,Paved,County Road
3929,BRADLEY HENLEY ROAD,2,Paved,County Road
3930,BRADLEY HENLEY ROAD,2,Paved,County Road
3931,BRADLEY HENLEY ROAD,2,Unpaved,County Road
3932,BRADLEY HENLEY ROAD,2,Paved,County Road
3933,BRADLEY HENLEY ROAD,2,Paved,County Road
3934,W A BARR ROAD,2,Paved,County Road
3935,HWY 3,2,Paved,State Highway
3936,HWY 3,2,Paved,State Highway
3937,I-5,2,Paved,Interstate
3938,I-5,2,Paved,Interstate
3939,I-5R,2,Paved,Interstate Ramp
3940,I-5R,2,Paved,Interstate Ramp
3941,I-5,2,Paved,Interstate
3942,I-5,2,Paved,Interstate
3943, ,0, ,City Street
3944, ,0, ,City Street
3945, ,0, ,City Street
3946, ,0, ,City Street
3947, ,0, ,City Street
3948, ,0, ,City Street
3949, ,0, ,City Street
3950, ,0, ,City Street
3951,I-5,2,Paved,Interstate
3952,I-5,2,Paved,Interstate
3953, ,0, ,City Street
3954, ,0, ,City Street
3955, ,0, ,City Street
3956, ,0, ,City Street
3957, ,0, ,City Street
3958, ,0, ,City Street
3959, ,0, ,City Street
3960, ,0, ,City Street
3961, ,0, ,City Street
3962,RAILROAD PARK ROAD,2,Paved,County Road
3963,SCALA LANE,2,Paved,County Road
3964,AGER ROAD,2,Paved,County Road
3965,AGER ROAD,2,Paved,County Road
3966,OAK ST,2,Paved,City Street
3967,OAK STREET,2,Paved,County Road
3968,OAK STREET,2,Paved,County Road
3969,OAK STREET,2,Paved,County Road
3970,OAK & WILLOW STREET CONNECTION ROAD,2,Paved,City Street
3971,OAK & WILLOW STREET CONNECTION ROAD,2,Paved,City Street
3972,OAK & WILLOW STREET CONNECTION ROAD,2,Paved,City Street
3973,WILLOW CREEK AND RED ROCK ROAD,2,Unpaved,County Road
3974,WILLOW CREEK AND RED ROCK ROAD,2,Unpaved,County Road
3975,WILLOW CREEK AND RED ROCK ROAD,2,Unpaved,County Road
3976,WILLOW CREEK AND RED ROCK ROAD,2,Paved,County Road
3977,WILLOW CREEK AND RED ROCK ROAD,2,Paved,County Road
3978,WILLOW CREEK AND RED ROCK ROAD,2,Unpaved,County Road
3979,WILLOW CREEK AND RED ROCK ROAD,2,Paved,County Road
3980,SCOTT MOUNTAIN ROAD,2,Unpaved,County Road
3981,SCALA LANE,2,Unpaved,County Road
3982,RESERVOIR ROAD,2,Paved,County Road
3983,LICHENS ROAD,2,Unpaved,County Road
3984,TABLEROCK ROAD,2,Unpaved,County Road
3985,COPCO ROAD,2,Paved,County Road
3986,COPCO ROAD,2,Paved,County Road
3987,RANCHERIA CREEK ROAD,2,Unpaved,County Road
3988,YREKA STREET,2,Paved,County Road
3989,YREKA STREET,2,Unpaved,County Road
3990,AGER BESWICK ROAD,2,Paved,County Road
3991,AGER BESWICK ROAD,2,Paved,County Road
3992,JOSEPH PLACE,0,Unpaved,County Road
3993,99-97 CUTOFF,2,Paved,County Road
3994,99-97 CUTOFF,2,Paved,County Road
3995,YELLOW BUTTE ROAD,2,Unpaved,County Road
3996,YELLOW BUTTE ROAD,2,Unpaved,County Road
3997, ,2,Unpaved,City Street
3998,CURLY JACK ROAD,2,Paved,County Road
3999,BUCKHORN ROAD,2,Paved,County Road
4000,NUGGET STREET,2,Paved,County Road
4001,AIRPORT ROAD,2,Paved,County Road
4002,HWY 96,2,Paved,State Highway
4003,HWY 96,2,Paved,State Highway
4004,JACKSON RANCH ROAD,2,Paved,County Road
4005,HILL ROAD,2,Paved,County Road
4006,HART AVE,2,Paved,City Street
4007,WELLS AVE,2,Paved,City Street
4008,NEEDHAM AVE,2,Paved,City Street
4009,WELLS AVE,2,Paved,City Street
4010,ALLEY,2,Paved,City Street
4011,GLEAVES AVE,2,Paved,City Street
4012,WELLS AVE,2,Paved,City Street
4013,WELLS AVE,2,Paved,City Street
4014,DUNSMUIR AVE,2,Paved,City Street
4015,WELLS AVE,2,Paved,City Street
4016,HAVEN AVE,2,Paved,City Street
4017,SIMPSON ST,2,Paved,City Street
4018,GOODCELL AVE,2,Paved,City Street
4019,BLACKBEAR DR,2,Paved,City Street
4020,CASTLE LAKE ROAD,2,Paved,County Road
4021,SIMPSON ST,2,Paved,City Street
4022,SISKIYOU AVE,2,Paved,City Street
4023,SHASTA VIEW AV,2,Paved,City Street
4024,HART AVE,2,Paved,City Street
4025,HEMLOCK ST,2,Paved,City Street
4026,SHASTA VIEW AV,2,Paved,City Street
4027,HEMLOCK ST,2,Paved,City Street
4028,FOREST LN,2,Paved,City Street
4029,FOREST LN,2,Paved,City Street
4030,FOREST LN,2,Paved,City Street
4031,SIMPSON ST,2,Paved,City Street
4032,SHASTA VIEW AV,2,Paved,City Street
4033,FAWN COURT,2,Paved,City Street
4034,SPRING ST,2,Paved,City Street
4035,CAVE AVE,2,Paved,City Street
4036,SISKIYOU AVE,2,Paved,City Street
4037,DEER HAVEN,2,Paved,City Street
4038,TIMBER DR,2,Paved,City Street
4039,TIMBER DR,2,Paved,City Street
4040,CAVE AVE,2,Paved,City Street
4041,CECILVILLE ROAD,2,Paved,County Road
4042,DUNSMUIR AVE,2,Paved,City Street
4043,SCARLETT AVE,2,Paved,City Street
4044,I-5,3,Paved,Interstate
4045,I-5,3,Paved,Interstate
4046,I-5,2,Paved,Interstate
4047,BUCKBOARD LANE,2,Paved,City Street
4048,DUNSMUIR AVE,2,Paved,City Street
4049,SISKIYOU AVE,2,Paved,City Street
4050,I-5,2,Paved,Interstate
4051,SISKIYOU AVE,2,Paved,City Street
4052,I-5,2,Paved,Interstate
4053,SISKIYOU AVE,2,Paved,City Street
4054,I-5R,2,Paved,Interstate Ramp
4055,SISKIYOU AVE,2,Paved,City Street
4056,DUNSMUIR AVE,2,Paved,City Street
4057,CECILVILLE ROAD,2,Paved,County Road
4058,SISKIYOU AVE,2,Paved,City Street
4059,MC CLOUD AVE,2,Paved,City Street
4060,MASSON AVE,2,Paved,City Street
4061,PIONEER WAY,2,Paved,City Street
4062,DUNSMUIR AVE,2,Paved,City Street
4063,PIONEER WAY,2,Paved,City Street
4064,MASSON AVE,2,Paved,City Street
4065,DUNSMUIR AVE,2,Paved,City Street
4066,STAGECOACH RD,2,Paved,City Street
4067,I-5R,2,Paved,Interstate Ramp
4068,DUNSMUIR AVE,2,Paved,City Street
4069,I-5,2,Paved,Interstate
4070,DUNSMUIR AVE,2,Paved,City Street
4071,UPPER SODA RD,2,Paved,City Street
4072,RIVER AVE,2,Paved,City Street
4073,UPPER SODA RD,2,Paved,City Street
4074,I-5R,2,Paved,Interstate Ramp
4075,UPPER SODA RD,2,Paved,City Street
4076,I-5,2,Paved,Interstate
4077,I-5,2,Paved,Interstate
4078,UPPER SODA RD,2,Paved,City Street
4079,UPPER SODA RD,2,Paved,City Street
4080,DUNSMUIR AVE,2,Paved,City Street
4081,FLORENCE LOOP,2,Paved,City Street
4082,I-5,2,Paved,Interstate
4083,I-5R,2,Paved,Interstate Ramp
4084,I-5,2,Paved,Interstate
4085,DUNSMUIR AVE,2,Paved,City Street
4086,I-5,2,Paved,Interstate
4087,DUNSMUIR AVE,2,Paved,City Street
4088,FLORENCE LOOP,2,Paved,City Street
4089,DUNSMUIR AVE,2,Paved,City Street
4090,RIVER AVE,2,Paved,City Street
4091,FLORENCE LOOP,2,Paved,City Street
4092,I-5R,2,Paved,Interstate Ramp
4093,FLORENCE LOOP,2,Paved,City Street
4094,DUNSMUIR AVE,2,Paved,City Street
4095,FLORENCE LOOP,2,Paved,City Street
4096,I-5R,2,Paved,Interstate Ramp
4097,FLORENCE LOOP,2,Paved,City Street
4098,DUNSMUIR AVE,2,Paved,City Street
4099,SHASTA AVE,2,Paved,City Street
4100,DUNSMUIR AVE,2,Paved,City Street
4101,SACRAMENTO AVE,2,Paved,City Street
4102,SACRAMENTO AVE,2,Paved,City Street
4103,DUNSMUIR AVE,2,Paved,City Street
4104,SPRING ST,2,Paved,City Street
4105,SHASTA AVE,2,Paved,City Street
4106,SACRAMENTO AVE,2,Paved,City Street
4107,SHASTA AVE,2,Paved,City Street
4108,SHASTA AVE,2,Paved,City Street
4109,ASH ST,2,Paved,City Street
4110,DUNSMUIR AVE,2,Paved,City Street
4111,ASH ST,2,Paved,City Street
4112,SHASTA AVE,2,Paved,City Street
4113,ASH ST,2,Paved,City Street
4114,CLARK ST,2,Paved,City Street
4115,RIVER AVE,2,Paved,City Street
4116,SACRAMENTO AVE,2,Paved,City Street
4117,WILLOW ST,2,Paved,City Street
4118,DUNSMUIR AVE,2,Paved,City Street
4119,WILLOW ST,2,Paved,City Street
4120,SHASTA AVE,2,Paved,City Street
4121,I-5R,2,Paved,Interstate Ramp
4122,I-5,2,Paved,Interstate
4123,WILLOW ST,2,Paved,City Street
4124,CASTLE AVE,2,Paved,City Street
4125,CECILVILLE ROAD,2,Paved,County Road
4126,CASTLE AVE,2,Paved,City Street
4127,SHASTA AVE,2,Paved,City Street
4128,SPRUCE ST,2,Paved,City Street
4129,DUNSMUIR AVE,2,Paved,City Street
4130,SPRUCE ST,2,Paved,City Street
4131,I-5,2,Paved,Interstate
4132,WILLOW ST,2,Paved,City Street
4133,I-5,2,Paved,Interstate
4134,WILLOW ST,2,Paved,City Street
4135,SHASTA TERRACE ST,2,Paved,City Street
4136,CASTLE AVE,2,Paved,City Street
4137,DUNSMUIR AVE,2,Paved,City Street
4138,SHASTA AVE,2,Paved,City Street
4139,PINE ST,2,Paved,City Street
4140,SHASTA AVE,2,Paved,City Street
4141,DUNSMUIR AVE,2,Paved,City Street
4142,PINE ST,2,Paved,City Street
4143,CASTLE AVE,2,Paved,City Street
4144,VISTA ST,2,Paved,City Street
4145,SACRAMENTO AVE,2,Paved,City Street
4146,PINE ST,2,Paved,City Street
4147,CASTLE AVE,2,Paved,City Street
4148,FREEWAY AVE,2,Paved,City Street
4149,SHASTA AVE,2,Paved,City Street
4150,CEDAR ST,2,Paved,City Street
4151,CASTLE AVE,2,Paved,City Street
4152,OLIVE ST,2,Paved,City Street
4153,DUNSMUIR AVE,2,Paved,City Street
4154,FREEWAY AVE,2,Paved,City Street
4155,CASTLE AVE,2,Paved,City Street
4156,ORANGE ST,2,Paved,City Street
4157,SACRAMENTO AVE,2,Paved,City Street
4158,CEDAR ST,2,Paved,City Street
4159,SACRAMENTO AVE,2,Paved,City Street
4160,CASTLE AVE,2,Paved,City Street
4161,GILLIS ST,2,Paved,City Street
4162,BUTTERFLY AVE,2,Paved,City Street
4163,I-5,2,Paved,Interstate
4164,I-5,2,Paved,Interstate
4165,DALY ST,2,Paved,City Street
4166,OAK ST,2,Paved,City Street
4167,CASTLE AVE,2,Paved,City Street
4168,OAK ST,2,Paved,City Street
4169,SHASTA AVE,2,Paved,City Street
4170,OAK ST,2,Paved,City Street
4171,DUNSMUIR AVE,2,Paved,City Street
4172,OAK ST,2,Paved,City Street
4173,OAK ST,2,Paved,City Street
4174,OAK ST,2,Paved,City Street
4175,MOUNTAIN AVE,2,Paved,City Street
4176,WOODEN ST,2,Paved,City Street
4177,GILLIS ST,2,Paved,City Street
4178,SHASTA AVE,2,Paved,City Street
4179,SACRAMENTO AVE,2,Paved,City Street
4180,BRANSTETTER ST,2,Paved,City Street
4181,SNOW AV,2,Paved,City Street
4182,BRANSTETTER ST,2,Paved,City Street
4183,BRANSTETTER ST,2,Paved,City Street
4184,DUNSMUIR AVE,2,Paved,City Street
4185,BRANSTETTER ST,2,Paved,City Street
4186,SHASTA AVE,2,Paved,City Street
4187,SACRAMENTO AVE,2,Paved,City Street
4188,BRANSTETTER ST,2,Paved,City Street
4189,SACRAMENTO AVE,2,Paved,City Street
4190,WALNUT ST,2,Paved,City Street
4191,DUNSMUIR AVE,2,Paved,City Street
4192,WOOD ST,2,Paved,City Street
4193,WOOD ST,2,Paved,City Street
4194,ELINORE AVE,2,Paved,City Street
4195,HILL AVE,2,Paved,City Street
4196,DUNSMUIR AVE,2,Paved,City Street
4197,ALLEY,2,Paved,City Street
4198,ELINORE AVE,2,Paved,City Street
4199,GROVER ST,2,Paved,City Street
4200,ELINORE AVE,2,Paved,City Street
4201,ALLEN ST,2,Paved,City Street
4202,DUNSMUIR AVE,2,Paved,City Street
4203,SACRAMENTO AVE,2,Paved,City Street
4204,GROVER ST,2,Paved,City Street
4205,DUNSMUIR AVE,2,Paved,City Street
4206,HILL AVE,2,Paved,City Street
4207,SOUTH ST,2,Paved,City Street
4208,SACRAMENTO AVE,2,Paved,City Street
4209,EDYTH ST,2,Paved,City Street
4210,SACRAMENTO AVE,2,Paved,City Street
4211,VERNIE ST,2,Paved,City Street
4212,DUNSMUIR AVE,2,Paved,City Street
4213,HILL AVE,2,Paved,City Street
4214,SQUAW VALLEY ROAD,2,Paved,County Road
4215,ELINORE AVE,2,Paved,City Street
4216,BEVERLEY WAY,2,Paved,City Street
4217,DUNSMUIR AVE,2,Paved,City Street
4218,SCHERRER AVE,2,Paved,City Street
4219,GILLIS ST,2,Paved,City Street
4220,FOURTH ST,2,Paved,City Street
4221,DUNSMUIR AVENUE,2,Paved,County Road
4222,BRIDGE STREET,2,Paved,County Road
4223,FOURTH STREET,2,Paved,County Road
4224,GILLIS STREET,2,Paved,County Road
4225,BRIDGE STREET,2,Paved,County Road
4226,SIXTH STREET,2,Paved,County Road
4227,KATHERINE STREET,2,Paved,County Road
4228,FOURTH STREET,2,Paved,County Road
4229,FIRST STREET RIVER ROAD,2,Paved,County Road
4230,RITA STREET,2,Paved,County Road
4231,FIFTH STREET,2,Paved,County Road
4232,MARION STREET,2,Paved,County Road
4233,MARION STREET,2,Paved,County Road
4234,SECOND STREET,2,Paved,County Road
4235,FOURTH STREET,2,Paved,County Road
4236,KATHERINE STREET,2,Paved,County Road
4237,SECOND STREET,2,Paved,County Road
4238,FIRST STREET RIVER ROAD,2,Paved,County Road
4239,WELSH LANE,2,Paved,County Road
4240,THIRD STREET,2,Paved,County Road
4241,PONDOSA WAY,2,Unpaved,County Road
4242,I-5,2,Paved,Interstate
4243,PANORAMA ROAD,2,Paved,County Road
4244,I-5,2,Paved,Interstate
4245,PANORAMA ROAD,2,Paved,County Road
4246,DUNSMUIR AVENUE,2,Paved,County Road
4247,FIRST STREET RIVER ROAD,2,Paved,County Road
4248,SOUTH SECOND STREET,2,Paved,County Road
4249,MICAN STREET,2,Paved,County Road
4250,MICAN STREET,2,Paved,County Road
4251,FRANCIS STREET,2,Paved,County Road
4252,PANORAMA ROAD,2,Paved,County Road
4253,DUNSMUIR AVENUE,2,Paved,County Road
4254,FIRST STREET RIVER ROAD,2,Paved,County Road
4255,SOUTH SECOND STREET,2,Paved,County Road
4256,PONDOSA WAY,2,Paved,County Road
4257,I-5,2,Paved,Interstate
4258,WEST LAVA ROAD,2,Paved,County Road
4259,PONDOSA WAY,2,Paved,County Road
4260,DUNSMUIR AVENUE,2,Paved,County Road
4261,ELIZABETH STREET,2,Paved,County Road
4262,I-5,2,Paved,Interstate
4263,CECILVILLE ROAD,2,Paved,County Road
4264,PONDOSA WAY,2,Paved,County Road
4265,DUNSMUIR AVENUE,2,Paved,County Road
4266,I-5,2,Paved,Interstate
4267,I-5,2,Paved,Interstate
4268,I-5R,2,Paved,Interstate Ramp
4269,I-5,2,Paved,Interstate
4270,I-5,2,Paved,Interstate
4271,I-5,2,Paved,Interstate
4272,I-5,2,Paved,Interstate
4273,I-5,2,Paved,Interstate
4274,I-5R,2,Paved,Interstate Ramp
4275,I-5,2,Paved,Interstate
4276,I-5R,2,Paved,Interstate Ramp
4277,I-5R,2,Paved,Interstate Ramp
4278,SQUAW VALLEY ROAD,2,Paved,County Road
4279,I-5R,2,Paved,Interstate Ramp
4280,I-5,2,Paved,Interstate
4281,I-5,2,Paved,Interstate
4282,I-5R,2,Paved,Interstate Ramp
4283,SQUAW VALLEY ROAD,2,Paved,County Road
4284,SQUAW VALLEY LOOP ROAD,2,Unpaved,County Road
4285,I-5,2,Paved,Interstate
4286,CRAG VIEW DRIVE,2,Paved,County Road
4287,FIRST STREET RIVER ROAD,2,Paved,County Road
4288,HWY 89,2,Paved,State Highway
4289,PONDOSA WAY,2,Paved,County Road
4290,SQUAW VALLEY ROAD,2,Paved,County Road
4291,CECILVILLE ROAD,2,Paved,County Road
4292,CECILVILLE ROAD,2,Paved,County Road
4293,CECILVILLE ROAD,2,Paved,County Road
4294,CECILVILLE ROAD,2,Paved,County Road
4295,EDDYS GULCH ROAD,2,Paved,County Road
4296,EDDYS GULCH ROAD,2,Unpaved,County Road
4297,CECILVILLE ROAD,2,Paved,County Road
4298,EDDYS GULCH ROAD,2,Paved,County Road
4299,CECILVILLE ROAD,2,Paved,County Road
4300,CECILVILLE ROAD,2,Paved,County Road
4301,CECILVILLE ROAD,2,Paved,County Road
4302,PETERSBURG ROAD,2,Paved,County Road
4303,CARIBOU ROAD,2,Paved,County Road
4304,CARIBOU ROAD,2,Unpaved,County Road
4305,N RAILROAD AV,2,Unpaved,City Street
4306,OLD STATE HWY,2,Paved,County Road
4307,OLD STATE HWY,2,Paved,County Road
4308,EAST BALL MOUNTAIN LITTLE SHASTA ROAD,2,Paved,County Road
4309,ISLAND ROAD,2,Paved,County Road
4310,ISLAND ROAD,2,Paved,County Road
4311,MCADAMS CREEK ROAD,2,Unpaved,County Road
4312,MCADAMS CREEK ROAD,2,Unpaved,County Road
4313,GREENHORN ROAD,2,Unpaved,County Road
4314,EDDYS GULCH ROAD,2,Unpaved,County Road
4315,BLACK BEAR ROAD,2,Unpaved,County Road
4316,PARK WAY,2,Paved,County Road
4317,PARK WAY,2,Paved,County Road
4318,REEVES STREET,2,Paved,County Road
4319,REEVES STREET,2,Paved,County Road
4320,CRUMPTON STREET,2,Paved,County Road
4321,LIVE OAK DRIVE,2,Paved,County Road
4322,LIVE OAK DRIVE,2,Paved,County Road
4323,ORCHARD STREET,2,Paved,County Road
4324,GROVE AVENUE,2,Paved,County Road
4325,GROVE AVENUE,2,Paved,County Road
4326,EAST MINNESOTA AVENUE,2,Paved,County Road
4327,MAIN STREET,2,Paved,County Road
4328,MAIN STREET,2,Paved,County Road
4329,LAWNDALE COURT,2,Paved,County Road
4330,MILL ROAD,2,Paved,County Road
4331,MILL ROAD,2,Paved,County Road
4332,BEAUMONT AVENUE,2,Paved,County Road
4333,EDGEWOOD ROAD,2,Paved,County Road
4334,EDGEWOOD ROAD,2,Paved,County Road
4335,OLD EDGEWOOD WEED ROAD,2,Paved,County Road
4336,EDGEWOOD ROAD,2,Paved,County Road
4337,EDGEWOOD ROAD,2,Paved,County Road
4338,CREAMERY LANE,2,Paved,County Road
4339,EDGEWOOD ROAD,2,Paved,County Road
4340,EDGEWOOD ROAD,2,Paved,County Road
4341,FIRST STREET,2,Paved,County Road
4342,EDGEWOOD ROAD,2,Paved,County Road
4343,EDGEWOOD ROAD,2,Paved,County Road
4344,SLOUGH ROAD,2,Paved,County Road
4345,OLD EDGEWOOD WEED ROAD,2,Unpaved,County Road
4346,I-5R,2,Paved,Interstate Ramp
4347,I-5R,2,Paved,Interstate Ramp
4348,I-5R,2,Paved,Interstate Ramp
4349,I-5R,2,Paved,Interstate Ramp
4350,I-5R,2,Paved,Interstate Ramp
4351,NORTH SHORE ROAD,2,Paved,County Road
4352,S MT SHASTA BLVD,2,Paved,City Street
4353,S MT SHASTA BLVD,2,Paved,City Street
4354,REAM AVE,2,Paved,City Street
4355,S MT SHASTA BLVD,2,Paved,City Street
4356,S MT SHASTA BLVD,2,Paved,City Street
4357,WATER ST,2,Paved,City Street
4358,NORTH B ST,2,Paved,City Street
4359,NORTH B ST,2,Paved,City Street
